UniProtKB,Symbol,Virus_mimicry,GTEx_medium_TPM_in_lung,Distinct_SLiMs,Biological_process,Molecular_function
P48431,SOX2,ORF7a,0.64,1,"adenohypophysis development [GO:0021984]; anatomical structure morphogenesis [GO:0009653]; cell differentiation [GO:0030154]; cell fate commitment [GO:0045165]; chromatin organization [GO:0006325]; endodermal cell fate specification [GO:0001714]; eye development [GO:0001654]; forebrain development [GO:0030900]; glial cell fate commitment [GO:0021781]; inner ear development [GO:0048839]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuronal stem cell population maintenance [GO:0097150]; osteoblast differentiation [GO:0001649]; pituitary gland development [GO:0021983]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of cell differentiation [GO:0045597]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell cycle [GO:0051726]; regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043281]; regulation of gene expression [GO:0010468]; regulation of transcription, DNA-templated [GO:0006355]; response to growth factor [GO:0070848]; response to wounding [GO:0009611]; somatic stem cell population maintenance [GO:0035019]; tissue regeneration [GO:0042246]","DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; miRNA binding [GO:0035198]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]"
Q9BVA1,TUBB2B,NSP8,1.28,1,embryonic brain development [GO:1990403]; microtubule-based process [GO:0007017]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; modulation of chemical synaptic transmission [GO:0050804]; neuron migration [GO:0001764]; positive regulation of axon guidance [GO:1902669],GTP binding [GO:0005525]; protein heterodimerization activity [GO:0046982]; structural constituent of cytoskeleton [GO:0005200]
Q13509,TUBB3,NSP8,1.76,1,axon guidance [GO:0007411]; dorsal root ganglion development [GO:1990791]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278],GTP binding [GO:0005525]; netrin receptor binding [GO:1990890]; peptide binding [GO:0042277]; structural constituent of cytoskeleton [GO:0005200]
Q13885,TUBB2A,NSP8,11.13,1,microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; neuron migration [GO:0001764],GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]
P68371,TUBB4B,NSP8,255.40,1,microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; natural killer cell mediated cytotoxicity [GO:0042267],double-stranded RNA binding [GO:0003725]; GTP binding [GO:0005525]; MHC class I protein binding [GO:0042288]; structural constituent of cytoskeleton [GO:0005200]; unfolded protein binding [GO:0051082]
P52294,KPNA1,NSP8,18.90,1,NLS-bearing protein import into nucleus [GO:0006607]; postsynapse to nucleus signaling pathway [GO:0099527]; regulation of apoptotic process [GO:0042981]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of DNA recombination [GO:0000018]; satellite cell activation involved in skeletal muscle regeneration [GO:0014901]; skeletal muscle satellite cell proliferation [GO:0014841],nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]
Q14980,NUMA1,NSP8,67.16,1,anastral spindle assembly [GO:0055048]; astral microtubule organization [GO:0030953]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; establishment of mitotic spindle orientation [GO:0000132]; meiotic cell cycle [GO:0051321]; microtubule bundle formation [GO:0001578]; nucleus organization [GO:0006997]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of chromosome segregation [GO:0051984]; positive regulation of chromosome separation [GO:1905820]; positive regulation of hair follicle development [GO:0051798]; positive regulation of intracellular transport [GO:0032388]; positive regulation of keratinocyte differentiation [GO:0045618]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of mitotic spindle elongation [GO:1902846]; positive regulation of protein localization to cell cortex [GO:1904778]; positive regulation of protein localization to spindle pole body [GO:1902365]; positive regulation of spindle assembly [GO:1905832]; regulation of metaphase plate congression [GO:0090235]; regulation of mitotic spindle organization [GO:0060236],disordered domain specific binding [GO:0097718]; dynein complex binding [GO:0070840]; microtubule binding [GO:0008017]; microtubule minus-end binding [GO:0051011]; microtubule plus-end binding [GO:0051010]; phosphatidylinositol binding [GO:0035091]; protein-containing complex binding [GO:0044877]; protein C-terminus binding [GO:0008022]; protein domain specific binding [GO:0019904]; structural molecule activity [GO:0005198]; tubulin binding [GO:0015631]
P30414,NKTR,Nucleocapsid,97.83,176,protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413],cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
Q9NYF8,BCLAF1,Nucleocapsid,43.88,159,"apoptotic process [GO:0006915]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of response to DNA damage stimulus [GO:2001022]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription in response to stress [GO:0043620]",DNA binding [GO:0003677]; RNA binding [GO:0003723]; transcription coregulator activity [GO:0003712]
Q9UKV3,ACIN1,Nucleocapsid,86.75,155,"apoptotic chromosome condensation [GO:0030263]; erythrocyte differentiation [GO:0030218]; mRNA processing [GO:0006397]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of apoptotic process [GO:0043065]; positive regulation of monocyte differentiation [GO:0045657]; RNA splicing [GO:0008380]",ATPase [GO:0016887]; enzyme binding [GO:0019899]; nucleic acid binding [GO:0003676]; RNA binding [GO:0003723]
Q8IYB3,SRRM1,Nucleocapsid,65.16,152,"mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]",DNA binding [GO:0003677]; RNA binding [GO:0003723]
Q8IWX8,CHERP,Nucleocapsid,26.38,130,cellular calcium ion homeostasis [GO:0006874]; negative regulation of cell population proliferation [GO:0008285]; nervous system development [GO:0007399]; positive regulation of calcineurin-NFAT signaling cascade [GO:0070886]; release of sequestered calcium ion into cytosol [GO:0051209]; RNA processing [GO:0006396],RNA binding [GO:0003723]; transmembrane transporter binding [GO:0044325]
Q8TF01,PNISR,Nucleocapsid,77.15,125,N/A,RNA binding [GO:0003723]
Q9BRL6,SRSF8,Nucleocapsid,27.24,125,"mRNA splicing, via spliceosome [GO:0000398]",RNA binding [GO:0003723]
Q8N5F7,NKAP,Nucleocapsid,5.46,121,"negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; Notch signaling pathway [GO:0007219]; positive regulation of alpha-beta T cell differentiation [GO:0046638]; regulation of gene expression [GO:0010468]",chromatin binding [GO:0003682]; RNA binding [GO:0003723]
Q16629,SRSF7,Nucleocapsid,93.3,107,"cellular response to leukemia inhibitory factor [GO:1990830]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; RNA splicing [GO:0008380]",protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
Q9H307,PNN,Nucleocapsid,128.99,107,"cell adhesion [GO:0007155]; mRNA splicing, via spliceosome [GO:0000398]",DNA binding [GO:0003677]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]
P62995,TRA2B,Nucleocapsid,76.4,105,"cellular response to glucose stimulus [GO:0071333]; cerebral cortex regionalization [GO:0021796]; embryonic brain development [GO:1990403]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; response to reactive oxygen species [GO:0000302]; RNA splicing, via transesterification reactions [GO:0000375]",identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; pre-mRNA binding [GO:0036002]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]
Q96IZ7,RSRC1,Nucleocapsid,5.75,98,"alternative mRNA splicing, via spliceosome [GO:0000380]; mRNA splicing, via spliceosome [GO:0000398]; nucleocytoplasmic transport [GO:0006913]; protein phosphorylation [GO:0006468]; response to antibiotic [GO:0046677]; RNA splicing [GO:0008380]",N/A
Q13427,PPIG,Nucleocapsid,27.72,96,protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; RNA splicing [GO:0008380],cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]
Q14739,LBR,Nucleocapsid,29.65,88,cholesterol biosynthetic process [GO:0006695]; neutrophil differentiation [GO:0030223]; sterol biosynthetic process [GO:0016126],"chromo shadow domain binding [GO:0070087]; delta14-sterol reductase activity [GO:0050613]; DNA binding [GO:0003677]; lamin binding [GO:0005521]; NADPH binding [GO:0070402]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; RNA binding [GO:0003723]"
Q8N684,CPSF7,Nucleocapsid,70.71,87,messenger ribonucleoprotein complex assembly [GO:1990120]; mRNA alternative polyadenylation [GO:0110104]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; protein heterotetramerization [GO:0051290]; protein tetramerization [GO:0051262],RNA binding [GO:0003723]
Q15287,RNPS1,Nucleocapsid,73.17,85,"mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of apoptotic process [GO:0043065]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]; transcription, DNA-templated [GO:0006351]",mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]
O75494,SRSF10,Nucleocapsid,40.04,81,"cytosolic transport [GO:0016482]; mRNA splice site selection [GO:0006376]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of transcription, DNA-templated [GO:0006355]; RNA splicing, via transesterification reactions [GO:0000375]; spliceosomal tri-snRNP complex assembly [GO:0000244]",RNA binding [GO:0003723]; RS domain binding [GO:0050733]; unfolded protein binding [GO:0051082]
Q9UPN6,SCAF8,Nucleocapsid,26.63,81,"mRNA polyadenylation [GO:0006378]; negative regulation of termination of RNA polymerase II transcription, poly(A)-coupled [GO:2000805]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; termination of RNA polymerase II transcription [GO:0006369]",mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA polymerase core enzyme binding [GO:0043175]; RNA polymerase II complex binding [GO:0000993]; RNA polymerase II C-terminal domain phosphoserine binding [GO:1990269]
Q14966,ZNF638,Nucleocapsid,30.99,79,RNA splicing [GO:0008380],double-stranded DNA binding [GO:0003690]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
Q07955,SRSF1,Nucleocapsid,167.09,77,"alternative mRNA splicing, via spliceosome [GO:0000380]; liver regeneration [GO:0097421]; mRNA 5'-splice site recognition [GO:0000395]; mRNA processing [GO:0006397]; mRNA splice site selection [GO:0006376]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; oligodendrocyte differentiation [GO:0048709]; positive regulation of RNA splicing [GO:0033120]",DNA topoisomerase binding [GO:0044547]; mRNA binding [GO:0003729]; protein kinase B binding [GO:0043422]; RNA binding [GO:0003723]
Q14562,DHX8,Nucleocapsid,19.88,76,"mRNA splicing, via spliceosome [GO:0000398]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]; spliceosomal complex disassembly [GO:0000390]",ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
P84103,SRSF3,Nucleocapsid,104.54,75,"cellular response to leukemia inhibitory factor [GO:1990830]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; regulation of mRNA splicing, via spliceosome [GO:0048024]",phospholipase binding [GO:0043274]; RNA binding [GO:0003723]; sequence-specific mRNA binding [GO:1990825]
P49761,CLK3,Nucleocapsid,13.16,60,protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of RNA splicing [GO:0043484],ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA binding [GO:0003723]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
Q13428,TCOF1,Nucleocapsid,22.83,56,neural crest cell development [GO:0014032]; neural crest formation [GO:0014029]; nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; regulation of translation [GO:0006417]; skeletal system development [GO:0001501],protein heterodimerization activity [GO:0046982]; protein-macromolecule adaptor activity [GO:0030674]; RNA binding [GO:0003723]; scaffold protein binding [GO:0097110]; transporter activity [GO:0005215]
Q14839,CHD4,Nucleocapsid,83.27,46,ATP-dependent chromatin remodeling [GO:0043044]; regulation of transcription by RNA polymerase II [GO:0006357],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; histone deacetylase binding [GO:0042826]; nucleosome-dependent ATPase activity [GO:0070615]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription coregulator binding [GO:0001221]; zinc ion binding [GO:0008270]
P49756,RBM25,Nucleocapsid,58.67,45,"mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of apoptotic process [GO:0042981]; RNA splicing [GO:0008380]",mRNA binding [GO:0003729]; RNA binding [GO:0003723]
